time	V(triangle)
4.088771131068860e-003	-1.523670e-001
4.089115387752602e-003	-1.533363e-001
4.089291217212248e-003	-1.531325e-001
4.089385394531275e-003	-1.531208e-001
4.089467805715478e-003	-1.532793e-001
4.089557031306347e-003	-1.533371e-001
4.089685641470072e-003	-1.533198e-001
4.089890871061918e-003	-1.531910e-001
4.090140086870612e-003	-1.527495e-001
4.090301077799121e-003	-1.519403e-001
4.090477015415789e-003	-1.507990e-001
4.090616340489095e-003	-1.501656e-001
4.090915169970684e-003	-1.490092e-001
4.091158769301929e-003	-1.479893e-001
4.091495995448832e-003	-1.465681e-001
4.091666443191470e-003	-1.457883e-001
4.092000000000000e-003	-1.442127e-001
4.092002009664215e-003	-1.437885e-001
4.092006028992644e-003	-1.429590e-001
4.092014067649504e-003	-1.414982e-001
4.092027415902427e-003	-1.397310e-001
4.092039982915864e-003	-1.388177e-001
4.092051450238492e-003	-1.384687e-001
4.092064186811640e-003	-1.382153e-001
4.092078584948221e-003	-1.379154e-001
4.092099287502709e-003	-1.376400e-001
4.092122600552204e-003	-1.376696e-001
4.092152360091883e-003	-1.379800e-001
