time	V(vin)	V(vout)
2.221972656249999e-003	-8.535156e-001	-3.944989e-001
2.226855468749999e-003	-8.209636e-001	-4.433388e-001
2.231738281249999e-003	-7.884114e-001	-4.907221e-001
2.236621093749999e-003	-7.558594e-001	-5.364088e-001
2.241503906249998e-003	-7.233073e-001	-5.801935e-001
2.246386718749998e-003	-6.907552e-001	-6.219032e-001
2.251269531249998e-003	-6.582031e-001	-6.613929e-001
2.256152343749998e-003	-6.256511e-001	-6.985438e-001
2.261035156249998e-003	-5.930989e-001	-7.332596e-001
2.265917968749998e-003	-5.605469e-001	-7.654650e-001
2.270800781249998e-003	-5.279948e-001	-7.951028e-001
2.275683593749998e-003	-4.954427e-001	-8.221323e-001
2.285449218749997e-003	-4.303385e-001	-8.682750e-001
2.295214843749997e-003	-3.652344e-001	-9.038297e-001
2.304980468749997e-003	-3.001302e-001	-9.288943e-001
2.314746093749997e-003	-2.350260e-001	-9.436905e-001
2.319628906249997e-003	-2.024740e-001	-9.473331e-001
2.324511718749997e-003	-1.699219e-001	-9.485320e-001
2.329394531249997e-003	-1.373698e-001	-9.473368e-001
2.334277343749996e-003	-1.048177e-001	-9.437999e-001
2.339160156249996e-003	-7.226563e-002	-9.379759e-001
2.344042968749996e-003	-3.971354e-002	-9.299216e-001
2.353808593749996e-003	2.539063e-002	-9.073550e-001
2.363574218749996e-003	9.049479e-002	-8.765744e-001
2.373339843749996e-003	1.555990e-001	-8.380610e-001
2.383105468749995e-003	2.207031e-001	-7.922943e-001
2.392871093749995e-003	2.858073e-001	-7.397456e-001
2.397753906249995e-003	3.183594e-001	-7.110720e-001
2.402636718749995e-003	3.509115e-001	-6.808738e-001
2.407519531249995e-003	3.834635e-001	-6.492057e-001
2.412402343749995e-003	4.160156e-001	-6.161214e-001
2.417285156249995e-003	4.485677e-001	-5.816733e-001
2.422167968749995e-003	4.811198e-001	-5.459125e-001
2.427050781249994e-003	5.136719e-001	-5.088887e-001
2.431933593749994e-003	5.462239e-001	-4.706506e-001
2.436816406249994e-003	5.787761e-001	-4.312451e-001
2.441699218749994e-003	6.113281e-001	-3.907180e-001
2.446582031249994e-003	6.438802e-001	-3.491137e-001
2.451464843749994e-003	6.764323e-001	-3.064752e-001
2.461230468749994e-003	7.415364e-001	-2.182610e-001
2.466113281249994e-003	7.740886e-001	-1.727644e-001
2.470996093749994e-003	8.066406e-001	-1.263922e-001
2.475878906249993e-003	8.391927e-001	-7.918075e-002
2.480761718749993e-003	8.717448e-001	-3.116499e-002
2.485644531249993e-003	9.042969e-001	1.762122e-002
2.490527343749993e-003	9.368489e-001	6.714532e-002
2.500000000000000e-003	1.000000e+000	1.650480e-001
2.501464843750000e-003	9.902344e-001	1.804455e-001
2.503417968750000e-003	9.772136e-001	2.010336e-001
2.507324218749999e-003	9.511719e-001	2.422500e-001
2.512207031249999e-003	9.186198e-001	2.936108e-001
2.517089843749999e-003	8.860677e-001	3.444820e-001
2.521972656249999e-003	8.535156e-001	3.944989e-001
2.526855468749999e-003	8.209636e-001	4.433388e-001
2.531738281249999e-003	7.884114e-001	4.907221e-001
2.536621093749998e-003	7.558594e-001	5.364088e-001
2.541503906249998e-003	7.233073e-001	5.801935e-001
2.546386718749998e-003	6.907552e-001	6.219032e-001
2.551269531249998e-003	6.582031e-001	6.613929e-001
2.556152343749998e-003	6.256511e-001	6.985438e-001
2.561035156249998e-003	5.930989e-001	7.332596e-001
2.565917968749998e-003	5.605469e-001	7.654650e-001
2.570800781249998e-003	5.279948e-001	7.951028e-001
2.575683593749998e-003	4.954427e-001	8.221323e-001
2.585449218749997e-003	4.303385e-001	8.682750e-001
2.595214843749997e-003	3.652344e-001	9.038297e-001
2.604980468749997e-003	3.001302e-001	9.288943e-001
2.614746093749997e-003	2.350260e-001	9.436905e-001
2.619628906249997e-003	2.024740e-001	9.473331e-001
2.624511718749997e-003	1.699219e-001	9.485320e-001
2.629394531249996e-003	1.373698e-001	9.473368e-001
2.634277343749996e-003	1.048177e-001	9.437999e-001
2.639160156249996e-003	7.226563e-002	9.379759e-001
