time	V(triangle)	V(vin)
1.591511765264163e-003	-3.555079e-001	-8.047061e-001
1.591830483643530e-003	-3.546251e-001	-9.321935e-001
1.592000000000000e-003	-3.541180e-001	-1.000000e+000
1.592002189103270e-003	-3.538265e-001	-1.000000e+000
1.592006567309809e-003	-3.532522e-001	-1.000000e+000
1.592015323722888e-003	-3.522347e-001	-1.000000e+000
1.592027878126220e-003	-3.511937e-001	-1.000000e+000
1.592045625643225e-003	-3.503862e-001	-1.000000e+000
1.592059777298469e-003	-3.500694e-001	-1.000000e+000
1.592078405798707e-003	-3.497915e-001	-1.000000e+000
1.592097869689547e-003	-3.496141e-001	-1.000000e+000
1.592136797471224e-003	-3.496464e-001	-1.000000e+000
1.592172018875217e-003	-3.498922e-001	-1.000000e+000
1.592220890930945e-003	-3.502722e-001	-1.000000e+000
1.592266775039533e-003	-3.504940e-001	-1.000000e+000
1.592358543256706e-003	-3.505665e-001	-1.000000e+000
1.592469773194433e-003	-3.503290e-001	-1.000000e+000
1.592596795140299e-003	-3.499434e-001	-1.000000e+000
1.592724676281306e-003	-3.495968e-001	-1.000000e+000
1.594994323623219e-003	-3.439375e-001	-1.000000e+000
1.597263970965132e-003	-3.382933e-001	-1.000000e+000
1.599533618307046e-003	-3.326642e-001	-1.000000e+000
1.601803265648959e-003	-3.270500e-001	-1.000000e+000
1.604072912990872e-003	-3.214509e-001	-1.000000e+000
1.606342560332786e-003	-3.158667e-001	-1.000000e+000
1.608612207674699e-003	-3.102976e-001	-1.000000e+000
1.652313730167320e-003	-2.054185e-001	-1.000000e+000
1.681610605167321e-003	-1.377431e-001	-1.000000e+000
1.710907480167322e-003	-7.214449e-002	-1.000000e+000
1.725555917667323e-003	-4.010393e-002	-1.000000e+000
1.740204355167323e-003	-8.558793e-003	-1.000000e+000
1.754852792667324e-003	2.249857e-002	-1.000000e+000
1.769501230167324e-003	5.307572e-002	-1.000000e+000
1.784149667667325e-003	8.318006e-002	-1.000000e+000
1.813446542667326e-003	1.419995e-001	-1.000000e+000
1.842743417667327e-003	1.990140e-001	-1.000000e+000
1.890351562499998e-003	2.880484e-001	-1.000000e+000
1.894999999999999e-003	2.965097e-001	-1.000000e+000
1.895031785515972e-003	2.985309e-001	-9.872858e-001
1.895095356547917e-003	3.008146e-001	-9.618574e-001
1.895126809766969e-003	3.010762e-001	-9.492761e-001
1.895152277186356e-003	3.009471e-001	-9.390891e-001
1.895186154446185e-003	3.007351e-001	-9.255382e-001
1.895253477757047e-003	3.002633e-001	-8.986089e-001
1.895307428833076e-003	3.000591e-001	-8.770285e-001
1.895371706169871e-003	3.000697e-001	-8.513175e-001
1.895495099590760e-003	3.003413e-001	-8.019602e-001
1.895802573992654e-003	3.010887e-001	-6.789704e-001
1.896010815244122e-003	3.015346e-001	-5.956739e-001
1.896268336299150e-003	3.019422e-001	-4.926655e-001
1.896587981854552e-003	3.021415e-001	-3.648072e-001
1.896892883794951e-003	3.022290e-001	-2.428465e-001
1.897190672318357e-003	3.022526e-001	-1.237311e-001
1.897786249365168e-003	3.020262e-001	1.144997e-001
1.898487329634052e-003	3.013466e-001	3.949319e-001
1.899185672288410e-003	3.001973e-001	6.742689e-001
1.899186295453062e-003	3.001903e-001	6.745182e-001
1.899187541782366e-003	3.001703e-001	6.750167e-001
1.899190034440973e-003	3.001429e-001	6.760138e-001
1.899195019758188e-003	3.000909e-001	6.780079e-001
1.899203962052643e-003	3.000090e-001	6.815848e-001
1.899221846641553e-003	2.998887e-001	6.887386e-001
1.899257615819374e-003	2.997295e-001	7.030463e-001
1.899321107817755e-003	2.995322e-001	7.284431e-001
1.899516942874678e-003	2.990756e-001	8.067772e-001
1.899677121549833e-003	2.986537e-001	8.708486e-001
1.899684684849403e-003	2.986338e-001	8.738739e-001
1.899714938047683e-003	2.985488e-001	8.859752e-001
1.899838649609173e-003	2.981895e-001	9.354599e-001
1.899844047145913e-003	2.981740e-001	9.376189e-001
1.899919612660280e-003	2.979548e-001	9.678451e-001
1.900000000000001e-003	2.977216e-001	1.000000e+000
1.900001806547265e-003	2.974822e-001	1.000000e+000
1.900005419641793e-003	2.970035e-001	1.000000e+000
1.900012645830848e-003	2.961297e-001	1.000000e+000
1.900025139668039e-003	2.949845e-001	1.000000e+000
1.900041147038480e-003	2.941236e-001	1.000000e+000
1.900056242074852e-003	2.937354e-001	1.000000e+000
1.900073299069022e-003	2.934653e-001	1.000000e+000
1.900092031357983e-003	2.932517e-001	1.000000e+000
1.900122719307099e-003	2.931797e-001	1.000000e+000
1.900154388883373e-003	2.933620e-001	1.000000e+000
1.900189994228071e-003	2.936582e-001	1.000000e+000
1.900232517532753e-003	2.939368e-001	1.000000e+000
1.900317564142117e-003	2.941695e-001	1.000000e+000
1.900440936152019e-003	2.940344e-001	1.000000e+000
1.900670981783502e-003	2.933770e-001	1.000000e+000
1.920368998041533e-003	2.459248e-001	1.000000e+000
1.940067014299565e-003	1.993960e-001	1.000000e+000
1.959765030557596e-003	1.537906e-001	1.000000e+000
1.979463046815628e-003	1.091087e-001	1.000000e+000
1.999161063073659e-003	6.535012e-002	1.000000e+000
2.018859079331691e-003	2.251501e-002	1.000000e+000
2.038557095589722e-003	-1.939669e-002	1.000000e+000
2.053205533089722e-003	-5.002179e-002	1.000000e+000
2.067853970589723e-003	-8.017336e-002	1.000000e+000
2.097150845589724e-003	-1.390850e-001	1.000000e+000
2.126447720589725e-003	-1.961890e-001	1.000000e+000
2.170393033089727e-003	-2.785762e-001	1.000000e+000
2.207351562499994e-003	-3.450337e-001	1.000000e+000
2.212000000000000e-003	-3.532071e-001	1.000000e+000
2.212031711623562e-003	-3.552289e-001	9.873154e-001
2.212095134870685e-003	-3.575117e-001	9.619461e-001
2.212126451087692e-003	-3.577721e-001	9.494196e-001
2.212151834752291e-003	-3.576432e-001	9.392661e-001
2.212185568422157e-003	-3.574311e-001	9.257726e-001
2.212251999958465e-003	-3.569580e-001	8.992000e-001
2.212305263995625e-003	-3.567478e-001	8.778944e-001
2.212368909267020e-003	-3.567491e-001	8.524363e-001
2.212493401158710e-003	-3.570112e-001	8.026395e-001
2.213002026384792e-003	-3.581599e-001	5.991895e-001
2.213260139212539e-003	-3.585590e-001	4.959443e-001
2.213581828514237e-003	-3.587483e-001	3.672686e-001
2.213890526593787e-003	-3.588170e-001	2.437894e-001
2.214201037117234e-003	-3.588190e-001	1.195852e-001
2.214822058164128e-003	-3.585494e-001	-1.288233e-001
2.215420423247932e-003	-3.579283e-001	-3.681693e-001
2.216225936406966e-003	-3.564819e-001	-6.903746e-001
2.216243037933477e-003	-3.563855e-001	-6.972152e-001
2.216277240986499e-003	-3.561483e-001	-7.108964e-001
2.216334682020999e-003	-3.559267e-001	-7.338728e-001
2.216480946748296e-003	-3.555771e-001	-7.923787e-001
2.216632666171375e-003	-3.551964e-001	-8.530664e-001
2.216787467945429e-003	-3.547530e-001	-9.149872e-001
2.217000000000000e-003	-3.541217e-001	-1.000000e+000
2.217002393065468e-003	-3.538024e-001	-1.000000e+000
2.217007179196403e-003	-3.531790e-001	-1.000000e+000
2.217016751458271e-003	-3.520935e-001	-1.000000e+000
2.217029668522223e-003	-3.510815e-001	-1.000000e+000
2.217048098222344e-003	-3.503197e-001	-1.000000e+000
2.217062143868983e-003	-3.500300e-001	-1.000000e+000
2.217083637339417e-003	-3.497272e-001	-1.000000e+000
2.217103579623504e-003	-3.495806e-001	-1.000000e+000
2.217143464191674e-003	-3.496892e-001	-1.000000e+000
2.217185730149580e-003	-3.500102e-001	-1.000000e+000
2.217226825793226e-003	-3.503086e-001	-1.000000e+000
2.217285813102210e-003	-3.505277e-001	-1.000000e+000
2.217403787720177e-003	-3.504856e-001	-1.000000e+000
2.217531077753462e-003	-3.501461e-001	-1.000000e+000
2.217647100908021e-003	-3.498014e-001	-1.000000e+000
2.217812696513248e-003	-3.493775e-001	-1.000000e+000
2.219122375260781e-003	-3.461127e-001	-1.000000e+000
2.220432054008315e-003	-3.428516e-001	-1.000000e+000
2.221741732755848e-003	-3.395941e-001	-1.000000e+000
2.223051411503382e-003	-3.363403e-001	-1.000000e+000
2.224361090250916e-003	-3.330901e-001	-1.000000e+000
2.225670768998449e-003	-3.298435e-001	-1.000000e+000
2.226980447745983e-003	-3.266006e-001	-1.000000e+000
2.246425808489490e-003	-2.790672e-001	-1.000000e+000
2.265871169232998e-003	-2.324480e-001	-1.000000e+000
2.285316529976505e-003	-1.867430e-001	-1.000000e+000
2.304761890720013e-003	-1.419523e-001	-1.000000e+000
2.324207251463521e-003	-9.807571e-002	-1.000000e+000
2.343652612207028e-003	-5.511337e-002	-1.000000e+000
2.363097972950536e-003	-1.306523e-002	-1.000000e+000
2.377746410450536e-003	1.806182e-002	-1.000000e+000
2.392394847950537e-003	4.870756e-002	-1.000000e+000
2.407043285450538e-003	7.887945e-002	-1.000000e+000
2.436340160450539e-003	1.378308e-001	-1.000000e+000
2.465637035450540e-003	1.949732e-001	-1.000000e+000
2.515351562499999e-003	2.880479e-001	-1.000000e+000
2.520000000000000e-003	2.965110e-001	-1.000000e+000
2.520031804967404e-003	2.985316e-001	-9.872780e-001
2.520095414902212e-003	3.008149e-001	-9.618340e-001
2.520126934525725e-003	3.010761e-001	-9.492262e-001
2.520152412088193e-003	3.009461e-001	-9.390352e-001
2.520186339274744e-003	3.007334e-001	-9.254643e-001
2.520254193647847e-003	3.002596e-001	-8.983225e-001
2.520308388875871e-003	3.000570e-001	-8.766444e-001
2.520372935138399e-003	3.000701e-001	-8.508260e-001
2.520496100837270e-003	3.003434e-001	-8.015597e-001
2.520804143084433e-003	3.010916e-001	-6.783428e-001
2.521014601627179e-003	3.015418e-001	-5.941594e-001
2.521271921174266e-003	3.019462e-001	-4.912315e-001
2.521591730584851e-003	3.021421e-001	-3.633078e-001
2.521895844673135e-003	3.022297e-001	-2.416621e-001
2.522189313402371e-003	3.022538e-001	-1.242746e-001
2.522776250860843e-003	3.020238e-001	1.105003e-001
2.523547392441816e-003	3.012633e-001	4.189570e-001
2.524179299739802e-003	2.999902e-001	6.717199e-001
2.524335142084149e-003	2.995391e-001	7.340568e-001
2.524525869001636e-003	2.990440e-001	8.103476e-001
2.524671122064197e-003	2.986806e-001	8.684489e-001
2.524829008182499e-003	2.982172e-001	9.316033e-001
2.525000000000001e-003	2.977061e-001	1.000000e+000
2.525002198773673e-003	2.974121e-001	1.000000e+000
2.525006596321018e-003	2.968349e-001	1.000000e+000
2.525015391415707e-003	2.958198e-001	1.000000e+000
2.525028439527463e-003	2.947546e-001	1.000000e+000
2.525046025768654e-003	2.939745e-001	1.000000e+000
2.525060162356686e-003	2.936662e-001	1.000000e+000
2.525079216411678e-003	2.933834e-001	1.000000e+000
2.525098901130148e-003	2.932110e-001	1.000000e+000
2.525138270567086e-003	2.932620e-001	1.000000e+000
2.525174859288073e-003	2.935251e-001	1.000000e+000
2.525221541189591e-003	2.938869e-001	1.000000e+000
2.525270019258447e-003	2.941140e-001	1.000000e+000
2.525366975396159e-003	2.941746e-001	1.000000e+000
2.525478265301275e-003	2.939308e-001	1.000000e+000
